pagamento_id,data_pagamento_motor,descricao_motor,valor_motor,lote_recomendado_motor,lote_final_central,lote_sugerido_extrato,estrategia_recomendada_motor,estrategia_extrato,cobertura_integral_recomendada_motor,pagamento_totalmente_coberto_central,cobertura_integral_extrato,saldo_residual_temporal_motor,saldo_remanescente_central,saldo_remanescente_extrato,necessidade_switching_motor,necessita_switching_extrato,origem_mista_detectada,divergencia_lote_motor_central,divergencia_lote_motor_extrato,divergencia_lote_central_extrato,divergencia_estrategia_motor_extrato,divergencia_cobertura_motor_central,divergencia_cobertura_motor_extrato,divergencia_cobertura_central_extrato,divergencia_saldo_motor_central,divergencia_saldo_motor_extrato,divergencia_saldo_central_extrato,divergencia_switching_motor_extrato,fonte_de_verdade_operacional,precedencia_entre_camadas
despesa_auto_00175,2026-12-21,Condomínio,113.31,saldo_disponivel_geral,saldo_disponivel_geral,saldo_disponivel_geral,sem_switching,sem_switching,sim,sim,sim,0.0,90666.67,90666.67,não,não,True,False,False,False,False,False,False,False,True,True,False,False,NAO_CONSOLIDADA,NAO_DEFINIDA
despesa_auto_00176,2027-01-04,Cartão NU,2000.0,Lote 5680 set.,Lote 5680 set.,Lote 5680 set.,sem_switching,sem_switching,sim,sim,sim,0.0,3680.0,3680.0,não,não,True,False,False,False,False,False,False,False,True,True,False,False,NAO_CONSOLIDADA,NAO_DEFINIDA
despesa_auto_00177,2027-01-06,Cemig SIM,281.1,Lote 7000 dez.,Lote 7000 dez.,Lote 7000 dez.,sem_switching,sem_switching,sim,sim,sim,0.0,468.9,468.9,não,não,True,False,False,False,False,False,False,False,True,True,False,False,NAO_CONSOLIDADA,NAO_DEFINIDA
despesa_auto_00178,2027-01-06,Faxina Rosa,950.0,Lote 5680 nov.,Lote 5680 nov.,Lote 5680 nov.,sem_switching,sem_switching,sim,sim,sim,0.0,18.6,18.6,não,não,True,False,False,False,False,False,False,False,True,True,False,False,NAO_CONSOLIDADA,NAO_DEFINIDA
despesa_auto_00179,2027-01-08,Claro,120.0,Lote 7000 dez.,Lote 7000 dez.,Lote 7000 dez.,sem_switching,sem_switching,sim,sim,sim,0.0,348.9,348.9,não,não,True,False,False,False,False,False,False,False,True,True,False,False,NAO_CONSOLIDADA,NAO_DEFINIDA
despesa_auto_00180,2027-01-10,Ginástica Biola,65.0,Lote 8500 mar.,Lote 8500 mar.,Lote 8500 mar.,sem_switching,sem_switching,sim,sim,sim,0.0,965.09,965.09,não,não,True,False,False,False,False,False,False,False,True,True,False,False,NAO_CONSOLIDADA,NAO_DEFINIDA
despesa_auto_00181,2027-01-11,Cemig,105.37,Lote 7000 dez.,Lote 7000 dez.,Lote 7000 dez.,sem_switching,sem_switching,sim,sim,sim,0.0,243.53,243.53,não,não,True,False,False,False,False,False,False,False,True,True,False,False,NAO_CONSOLIDADA,NAO_DEFINIDA
despesa_auto_00182,2027-01-12,Aluguel,983.13,Lote 5680 abr.,Lote 5680 abr.,Lote 5680 abr.,sem_switching,sem_switching,sim,sim,sim,0.0,1275.36,1275.36,não,não,True,False,False,False,False,False,False,False,True,True,False,False,NAO_CONSOLIDADA,NAO_DEFINIDA
despesa_auto_00183,2027-01-13,Pelada,50.0,Lote 7000 dez.,Lote 7000 dez.,Lote 7000 dez.,sem_switching,sem_switching,sim,sim,sim,0.0,193.53,193.53,não,não,True,False,False,False,False,False,False,False,True,True,False,False,NAO_CONSOLIDADA,NAO_DEFINIDA
despesa_auto_00184,2027-01-16,Internet,135.89,Lote 7000 dez.,Lote 7000 dez.,Lote 7000 dez.,sem_switching,sem_switching,sim,sim,sim,0.0,57.64,57.64,não,não,True,False,False,False,False,False,False,False,True,True,False,False,NAO_CONSOLIDADA,NAO_DEFINIDA
